condition medium, random seed 649601
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
17.25, 0, 0, 0, 0, 0, 0, 1, 0.2091758, 0.4873157, 0.2561496, -0.4898624, 0.4395424, 0.302018, -0.6896539, 0.001594328, 1.169359, 0.1388752, -0.08715568, 0, 0, -0.9961947, 0.1384721, 0.4453649, 0.271873, -0.5825026, 0.07690617, -0.4624671, -0.6640034
17.3, 0, 0, 0, 0, 0, 0, 1, 0.2155239, 0.5210466, 0.2976874, -0.4547069, 0.4739964, 0.2509552, -0.7110489, 0.001594329, 1.169391, 0.1388354, -0.08715568, 0, 0, -0.9961947, 0.1446471, 0.4800041, 0.3149524, -0.523455, 0.05909118, -0.4893507, -0.6950102
17.35, 0, 0, 0, 0, 0, 0, 1, 0.2326824, 0.5935532, 0.3753515, -0.3864652, 0.4977285, 0.1823887, -0.7547486, 0.001594329, 1.169421, 0.1387987, -0.08715568, 0, 0, -0.9961947, 0.1627111, 0.5546408, 0.3997635, -0.4420789, 0.004872292, -0.5096415, -0.7381113
17.4, 0, 0, 0, 0, 0, 0, 1, 0.2439727, 0.7123983, 0.4618435, -0.2890489, 0.5149274, 0.08911043, -0.8020971, 0.001594329, 1.169449, 0.1387643, -0.08715568, 0, 0, -0.9961947, 0.1753092, 0.6784458, 0.4955875, -0.3293321, -0.07212248, -0.526094, -0.7807459
17.45, 0, 0, 0, 0, 0, 0, 1, 0.232962, 0.8739451, 0.5269722, -0.166475, 0.5314583, -0.05274397, -0.8288887, 0.001594329, 1.169488, 0.1387167, -0.08715568, 0, 0, -0.9961947, 0.1650488, 0.8469934, 0.5678073, -0.1633713, -0.1586521, -0.5509833, -0.802843
17.5, 0, 0, 0, 0, 0, 0, 1, 0.1855271, 1.057931, 0.5403942, -0.01243246, 0.5375344, -0.2564935, -0.8031895, 0.001594329, 1.169571, 0.1386148, -0.08715568, 0, 0, -0.9961947, 0.1165002, 1.038733, 0.58367, 0.07509474, -0.2464111, -0.5761713, -0.7756734
17.55, 0, 0, 0, 0, 0, 0, 1, 0.09707577, 1.219685, 0.4763119, 0.1807372, 0.5047629, -0.4906158, -0.6869095, 0.00159433, 1.169623, 0.1385505, -0.08715568, 0, 0, -0.9961947, 0.0240065, 1.208409, 0.5155525, 0.3737227, -0.3218271, -0.5565822, -0.6685619
17.6, 0, 0, 0, 0, 0, 0, 1, 0.01460604, 1.298279, 0.3656916, -0.3731187, -0.4223357, 0.6436813, 0.5177736, 0.001594329, 1.169656, 0.1385099, -0.08715568, 0, 0, -0.9961947, -0.06406288, 1.294786, 0.3940659, -0.6209278, 0.3702041, 0.4548727, 0.5200852
17.65, 0, 0, 0, 0, 0, 0, 1, -0.0235285, 1.305471, 0.2893307, -0.5248361, -0.3438857, 0.6727991, 0.391958, 0.00159433, 1.169648, 0.1385192, -0.08715568, 0, 0, -0.9961947, -0.1062921, 1.309292, 0.3012338, -0.7508004, 0.3940313, 0.314485, 0.4267756
17.7, 0, 0, 0, 0, 0, 0, 1, -0.01909798, 1.297793, 0.2924836, -0.6147869, -0.2881193, 0.6284126, 0.379634, 0.001594329, 1.169633, 0.1385382, -0.08715568, 0, 0, -0.9961947, -0.1012425, 1.313863, 0.2921163, -0.7666123, 0.4353131, 0.2079023, 0.4237746
17.75, 0, 0, 0, 0, 0, 0, 1, 0.01873551, 1.270431, 0.3810459, -0.6232502, -0.2518159, 0.5540792, 0.4910643, 0.001594329, 1.169612, 0.1385643, -0.08715568, 0, 0, -0.9961947, -0.05700524, 1.305995, 0.3831921, -0.6796473, 0.5099412, 0.1776498, 0.4964677
